"Accession.New","Accession.Number","P3","P4","P5","Accession.Number.uni","ProteinID","MouseGeneName"
"CATM_MOUSE","CATM_MOUSE",1,1,3,"CATM_MOUSE","Q9JL96","Ctsm"
"CEAM5_MOUSE","CEAM5_MOUSE",18,12,23,"CEAM5_MOUSE","Q3UKK2","Ceacam5"
"H2B1H_MOUSE","H2B1H_MOUSE",3,0,3,"H2B1H_MOUSE","Q64478","Hist1h2bh"
"K1C42_MOUSE","K1C42_MOUSE",2,6,6,"K1C42_MOUSE","Q6IFX2","Krt42"
"PR2B1_MOUSE","PR2B1_MOUSE",1,0,1,"PR2B1_MOUSE","Q9DAZ2","Prl2b1"
"PR2C5_MOUSE","PR2C5_MOUSE",1,1,1,"PR2C5_MOUSE","Q9JLV9","Prl2c5"
"PR3B1_MOUSE","PR3B1_MOUSE",3,0,5,"PR3B1_MOUSE","P09586","Prl3b1"
"PR7A2_MOUSE","PR7A2_MOUSE",6,3,5,"PR7A2_MOUSE","O54831","Prl7a2"
"PSG22_MOUSE","PSG22_MOUSE",3,2,3,"PSG22_MOUSE","Q810J1","Psg22"
"TSP_MOUSE","TSP_MOUSE",1,0,2,"TSP_MOUSE","P13438","Tpbpa"
